,PlannedGeneration_CH_HydroLake,PlannedGeneration_CH_HydroPumpedStorage,PlannedGeneration_CH_HydroRunOfRiver,PlannedGeneration_CH_Nuclear,PlannedGeneration_DE_Lignite,PlannedGeneration_DE_HardCoal,PlannedGeneration_DE_Gas,PlannedGeneration_AT_Gas,PlannedGeneration_AT_HydroLake,PlannedGeneration_AT_HydroPumpedStorage,PlannedGeneration_AT_HydroRunOfRiver,PlannedGeneration_FR_Dispatchable,Weekday,Week,DayOfYear,Hour,QuarterHour
2018-01-01 00:00:00,264.5,149.5,125.8,2582.9,7480.55,1635.0,1375.1,131.8,100.58,0.0,2225.78,39068.0,0,1,1,1,1
2018-01-01 00:15:00,264.5,149.5,125.8,2582.9,7480.55,1635.0,1375.1,131.8,100.58,0.0,2225.78,39068.0,0,1,1,1,2
2018-01-01 00:30:00,264.5,149.5,125.8,2582.9,7480.55,1635.0,1375.1,131.8,100.58,0.0,2225.78,38044.0,0,1,1,1,3
2018-01-01 00:45:00,264.5,149.5,125.8,2582.9,7480.55,1635.0,1375.1,131.8,100.58,0.0,2225.78,38044.0,0,1,1,1,4
2018-01-01 01:00:00,264.9,120.25,125.1,2582.38,7480.0,1582.3,1372.1,131.8,80.7,0.0,2039.63,35874.0,0,1,1,2,1
2018-01-01 01:15:00,264.9,120.25,125.1,2582.38,7480.0,1606.3,1372.1,131.8,80.7,0.0,2039.63,35874.0,0,1,1,2,2
2018-01-01 01:30:00,264.9,120.25,125.1,2582.38,7480.0,1632.3,1372.1,131.8,80.7,0.0,2039.63,35504.0,0,1,1,2,3
2018-01-01 01:45:00,264.9,120.25,125.1,2582.38,7480.0,1657.3,1367.1,131.8,80.7,0.0,2039.63,35504.0,0,1,1,2,4
2018-01-01 02:00:00,264.3,135.0,124.5,2580.43,7481.0,1718.6,1327.6,131.8,80.9,0.0,2042.25,34707.0,0,1,1,3,1
2018-01-01 02:15:00,264.3,135.0,124.5,2580.43,7481.0,1718.6,1327.6,131.8,80.9,0.0,2042.25,34707.0,0,1,1,3,2
2018-01-01 02:30:00,264.3,135.0,124.5,2580.43,7490.6,1683.6,1322.6,131.8,80.9,0.0,2042.25,34594.0,0,1,1,3,3
2018-01-01 02:45:00,264.3,135.0,124.5,2580.43,7491.0,1644.6,1322.6,131.8,80.9,0.0,2042.25,34594.0,0,1,1,3,4
2018-01-01 03:00:00,260.4,110.25,125.5,2579.1,7492.0,1655.7,1328.2,131.8,57.08,0.0,2043.38,34474.0,0,1,1,4,1
2018-01-01 03:15:00,260.4,110.25,125.5,2579.1,7492.0,1659.7,1328.2,131.8,57.08,0.0,2043.38,34474.0,0,1,1,4,2
2018-01-01 03:30:00,260.4,110.25,125.5,2579.1,7492.0,1661.7,1328.2,131.8,57.08,0.0,2043.38,33995.0,0,1,1,4,3
2018-01-01 03:45:00,260.4,110.25,125.5,2579.1,7492.0,1663.7,1328.2,131.8,57.08,0.0,2043.38,33995.0,0,1,1,4,4
2018-01-01 04:00:00,256.7,71.75,126.3,2579.05,7493.0,1679.9,1330.9,131.8,73.33,0.0,2044.8,33288.0,0,1,1,5,1
2018-01-01 04:15:00,256.7,71.75,126.3,2579.05,7493.0,1681.9,1328.9,131.8,73.33,0.0,2044.8,33288.0,0,1,1,5,2
2018-01-01 04:30:00,256.7,71.75,126.3,2579.05,7493.0,1678.9,1328.9,131.8,73.33,0.0,2044.8,33220.0,0,1,1,5,3
2018-01-01 04:45:00,256.7,71.75,126.3,2579.05,7493.0,1681.9,1328.9,131.8,73.33,0.0,2044.8,33220.0,0,1,1,5,4
2018-01-01 05:00:00,259.0,66.75,127.0,2579.63,7491.0,1789.5,1331.5,133.8,75.35,0.0,2095.3,33160.0,0,1,1,6,1
2018-01-01 05:15:00,259.0,66.75,127.0,2579.63,7491.0,1787.5,1331.5,133.8,75.35,0.0,2095.3,33160.0,0,1,1,6,2
2018-01-01 05:30:00,259.0,66.75,127.0,2579.63,7491.0,1785.5,1334.5,133.8,75.35,0.0,2095.3,33242.0,0,1,1,6,3
2018-01-01 05:45:00,259.0,66.75,127.0,2579.63,7491.0,1781.5,1336.5,133.8,75.35,0.0,2095.3,33242.0,0,1,1,6,4
2018-01-01 06:00:00,264.4,68.0,127.3,2581.28,7491.0,1813.0,1202.4,150.0,80.88,0.0,2097.35,33316.0,0,1,1,7,1
2018-01-01 06:15:00,264.4,68.0,127.3,2581.28,7491.0,1811.0,1202.4,150.0,80.88,0.0,2097.35,33316.0,0,1,1,7,2
2018-01-01 06:30:00,264.4,68.0,127.3,2581.28,7491.0,1812.0,1200.4,150.0,80.88,0.0,2097.35,34001.0,0,1,1,7,3
2018-01-01 06:45:00,264.4,68.0,127.3,2581.28,7491.0,1811.0,1200.4,150.0,80.88,0.0,2097.35,34001.0,0,1,1,7,4
2018-01-01 07:00:00,269.0,75.5,126.6,2581.33,7489.0,1821.0,1200.3,151.2,78.6,0.0,2128.98,34450.0,0,1,1,8,1
2018-01-01 07:15:00,269.0,75.5,126.6,2581.33,7489.0,1821.0,1200.3,151.2,78.6,0.0,2128.98,34450.0,0,1,1,8,2
2018-01-01 07:30:00,269.0,75.5,126.6,2581.33,7489.0,1816.0,1205.3,151.2,78.6,0.0,2128.98,34604.0,0,1,1,8,3
2018-01-01 07:45:00,269.0,75.5,126.6,2581.33,7489.0,1828.0,1205.3,151.2,78.6,0.0,2128.98,34604.0,0,1,1,8,4
2018-01-01 08:00:00,268.9,40.5,125.7,2581.9,7488.0,1834.8,1201.7,151.4,93.45,0.0,2228.68,34904.0,0,1,1,9,1
2018-01-01 08:15:00,268.9,40.5,125.7,2581.9,7488.0,1837.8,1201.7,151.4,93.45,0.0,2228.68,34904.0,0,1,1,9,2
2018-01-01 08:30:00,268.9,40.5,125.7,2581.9,7488.0,1839.8,1201.7,151.4,93.45,0.0,2228.68,35209.0,0,1,1,9,3
2018-01-01 08:45:00,268.9,40.5,125.7,2581.9,7488.0,1841.8,1201.7,151.4,93.45,0.0,2228.68,35209.0,0,1,1,9,4
2018-01-01 09:00:00,268.6,50.5,125.5,2583.13,7488.0,1768.5,1356.9,151.4,119.15,0.0,2233.55,35748.0,0,1,1,10,1
2018-01-01 09:15:00,268.6,50.5,125.5,2583.13,7488.0,1769.5,1356.9,151.4,119.15,0.0,2233.55,35748.0,0,1,1,10,2
2018-01-01 09:30:00,268.6,50.5,125.5,2583.13,7488.0,1769.5,1356.9,151.4,119.15,0.0,2233.55,35812.0,0,1,1,10,3
